poNumber,date,quantity,amount,location,status
PO14000000001052CM,07/03/2012,,16144,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001053CM,07/03/2012,,14705.5,Dapur Solo - Panglima,Pending Receipt
PO14000000001054CM,03/05/2012,,3000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001055CM,03/11/2012,,3250,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001056CM,04/05/2012,,12350,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001057CM,04/11/2012,,3799.8,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001058CM,04/11/2012,,148.5,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001059CM,04/11/2012,,9.9,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001060CM,4/18/2012,,14.85,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001061CM,4/18/2012,,939.65,Dapur Solo - Panglima,Pending Receipt
PO14000000001062CM,4/18/2012,,154.7,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001063CM,04/01/2012,,99.9,Dapur Solo - Panglima,Pending Bill
PO14000000001066CM,04/03/2012,,49.95,Dapur Solo - Panglima,Pending Bill
PO14000000001067CM,04/05/2012,,3000,Dapur Solo - Panglima,Pending Bill
PO14000000001068CM,04/07/2012,,2000,Dapur Solo - Panglima,Pending Bill
PO14000000001069CM,4/23/2012,,25980,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001070CM,4/23/2012,,6160,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001071CM,4/23/2012,,999,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001072CM,04/05/2012,,8223.36,Dapur Solo - Panglima,Pending Receipt
PO14000000001073CM,04/12/2012,,509.94,Dapur Solo - Panglima,Pending Receipt
PO14000000001074CM,04/07/2012,,3312.45,Dapur Solo - Panglima,Pending Receipt
PO14000000001075CM,4/24/2012,,440.68,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001076CM,4/24/2012,,2335,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001077CM,4/24/2012,,1490.76,Dapur Solo - Panglima,Pending Billing/Partially Received
PO14000000001078CM,4/15/2012,,440.68,CM00Z001 Jade e Services (MTA),Pending Billing/Partially Received
PO14000000001079CM,4/24/2012,,1514.9,Los Angeles,Pending Billing/Partially Received
PO14000000001080CM,4/25/2012,,19.98,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001081CM,4/25/2012,,9.9,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001082CM,4/25/2012,,450,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001083CM,3/13/2012,,17.5,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001084CM,3/13/2012,,170,Dapur Solo - Panglima,Pending Receipt
PO14000000001085CM,3/13/2012,,19.9,Dapur Solo - Panglima,Pending Receipt
PO14000000001086CM,3/13/2012,,498.8,Dapur Solo - Panglima,Pending Receipt
PO14000000001087CM,3/13/2012,,11450,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001088CM,3/13/2012,,13740,Dapur Solo - Panglima,Pending Receipt
PO14000000001089CM,3/13/2012,,1470,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001090CM,3/13/2012,,1470,Dapur Solo - Panglima,Pending Receipt
PO14000000001091CM,3/13/2012,,4122,Dapur Solo - Panglima,Pending Receipt
PO14000000001092CM,3/13/2012,,1800,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001093CM,3/13/2012,,899.4,Dapur Solo - Panglima,Pending Receipt
PO14000000001094CM,3/13/2012,,3240,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001095CM,3/13/2012,,7917.5,Dapur Solo - Panglima,Pending Receipt
PO14000000001096CM,3/13/2012,,1750,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001097CM,3/13/2012,,1050,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001098CM,3/13/2012,,6925.5,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001099CM,3/13/2012,,825,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001100CM,3/13/2012,,38384,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001101CM,3/13/2012,,33440,Dapur Solo - Panglima,Pending Receipt
PO14000000001102CM,3/13/2012,,250,Dapur Solo - Panglima,Pending Receipt
PO14000000001103CM,3/13/2012,,39344.78,Dapur Solo - Panglima,Pending Receipt
PO14000000001104CM,3/13/2012,,394.5,Dapur Solo - Panglima,Pending Receipt
PO14000000001105CM,3/13/2012,,3000,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001106CM,3/13/2012,,199,Los Angeles,Pending Receipt
PO14000000001107CM,3/13/2012,,1440,Dapur Solo - Panglima,Pending Receipt
PO14000000001108CM,3/13/2012,,67459.74,Dapur Solo - Panglima,Pending Receipt
PO14000000001109CM,11/10/2011,,849,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001110CM,3/15/2012,,9.99,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001111CM,03/07/2012,,964.9,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001112CM,03/08/2012,,6724.15,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001113CM,03/08/2012,,2593.4,Dapur Solo - Panglima,Fully Billed
PO14000000001114CM,03/08/2012,,4680,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001115CM,03/08/2012,,4680,Dapur Solo - Panglima,Pending Bill
PO14000000001116CM,3/13/2012,,2851.9,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001117CM,3/14/2012,,259.99,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001118CM,3/24/2012,,259.99,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001119CM,3/13/2012,,150000,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001120CM,3/22/2012,,495,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001121CM,3/19/2012,,59.99,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001122CM,04/01/2012,,10,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001123CM,04/07/2012,,249.75,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001124CM,04/07/2012,,249.75,Dapur Solo - Panglima,Pending Bill
PO14000000001125CM,04/11/2012,,499.5,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001126CM,04/11/2012,,499.5,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001127CM,03/12/2012,,52.95,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001128CM,3/22/2012,,52.95,Dapur Solo - Panglima,Pending Bill
PO14000000001129CM,3/19/2012,,52.95,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001130CM,3/26/2012,,59.99,Dapur Solo - Panglima,Closed
PO14000000001131CM,3/26/2012,,4.2,Dapur Solo - Panglima,Pending Bill
PO14000000001132CM,3/15/2012,,2375,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001133CM,2/25/2012,,2650,Dapur Solo - Panglima,Pending Bill
PO14000000001134CM,02/11/2012,,13375,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001135CM,2/29/2012,,5875,Los Angeles,Pending Bill
PO14000000001136CM,03/02/2012,,15500,Dapur Solo - Panglima,Pending Bill
PO14000000001137CM,3/27/2012,,1140,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001138CM,3/16/2012,,840,Los Angeles,Pending Bill
PO14000000001140CM,03/02/2012,,13430.1,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001142CM,03/02/2012,,12787.5,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001143CM,03/02/2012,,9750,Dapur Solo - Panglima,Pending Receipt
PO14000000001144CM,03/03/2012,,17680,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001147CM,03/02/2012,,12500,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001148CM,03/02/2012,,12787.5,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001149CM,03/03/2012,,12787.5,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001150CM,2/15/2012,,17680,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001151CM,03/03/2012,,49950,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001153CM,03/03/2012,,52950,CM00Z001 Jade e Services (MTA),Rejected by Supervisor
PO14000000001154CM,03/03/2012,,1000,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001155CM,03/08/2012,,99,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001156CM,1/28/2013,,31810.25,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001157CM,3/15/2012,,68750,Dapur Solo - Panglima,Pending Receipt
PO14000000001158CM,11/01/2010,,45000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001159CM,11/15/2010,,25000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001160CM,11/03/2010,,21950,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001161CM,11/03/2010,,21950,Dapur Solo - Panglima,Fully Billed
PO14000000001162CM,02/03/2011,,26340,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001163CM,02/03/2011,,26340,Dapur Solo - Panglima,Fully Billed
PO14000000001164CM,04/03/2011,,65850,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001165CM,04/03/2011,,65850,Dapur Solo - Panglima,Fully Billed
PO14000000001166CM,07/03/2011,,96580,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001167CM,07/03/2011,,96580,Dapur Solo - Panglima,Fully Billed
PO14000000001168CM,11/03/2011,,109750,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001169CM,11/03/2011,,109750,Dapur Solo - Panglima,Fully Billed
PO14000000001170CM,11/03/2010,,4350,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001171CM,11/03/2010,,4350,Dapur Solo - Panglima,Fully Billed
PO14000000001172CM,03/03/2011,,2900,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001173CM,03/03/2011,,2900,Dapur Solo - Panglima,Fully Billed
PO14000000001174CM,06/03/2011,,2175,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001175CM,06/03/2011,,2175,Dapur Solo - Panglima,Fully Billed
PO14000000001176CM,09/03/2011,,1450,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001177CM,09/03/2011,,1450,Dapur Solo - Panglima,Fully Billed
PO14000000001178CM,12/03/2011,,1160,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001179CM,12/03/2011,,1160,Dapur Solo - Panglima,Fully Billed
PO14000000001180CM,11/03/2010,,16827,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001181CM,11/03/2011,,16827,Dapur Solo - Panglima,Fully Billed
PO14000000001182CM,09/03/2011,,39500,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001183CM,09/03/2011,,39500,Dapur Solo - Panglima,Fully Billed
PO14000000001184CM,12/03/2011,,59250,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001185CM,12/03/2011,,59250,Dapur Solo - Panglima,Fully Billed
PO14000000001186CM,11/03/2010,,15000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001187CM,11/03/2010,,15000,Dapur Solo - Panglima,Fully Billed
PO14000000001188CM,02/03/2011,,50000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001189CM,02/03/2011,,50000,Dapur Solo - Panglima,Fully Billed
PO14000000001190CM,05/03/2011,,30000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001191CM,05/03/2011,,30000,Dapur Solo - Panglima,Fully Billed
PO14000000001192CM,08/03/2011,,10000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001193CM,08/03/2011,,10000,Dapur Solo - Panglima,Fully Billed
PO14000000001194CM,11/03/2011,,15000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001195CM,11/03/2011,,15000,Dapur Solo - Panglima,Fully Billed
PO14000000001196CM,02/03/2012,,50000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001197CM,02/03/2012,,50000,Dapur Solo - Panglima,Fully Billed
PO14000000001198CM,11/03/2010,,30000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001199CM,11/03/2010,,30000,Dapur Solo - Panglima,Fully Billed
PO14000000001200CM,08/03/2011,,60000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001201CM,08/03/2011,,60000,Dapur Solo - Panglima,Fully Billed
PO14000000001202CM,11/03/2011,,10000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001203CM,11/03/2011,,10000,Dapur Solo - Panglima,Fully Billed
PO14000000001204CM,11/03/2010,,1500,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001205CM,11/03/2010,,1500,Dapur Solo - Panglima,Fully Billed
PO14000000001206CM,08/03/2011,,9000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001207CM,08/03/2011,,9000,Dapur Solo - Panglima,Fully Billed
PO14000000001208CM,11/03/2011,,450,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001209CM,11/03/2011,,450,Dapur Solo - Panglima,Fully Billed
PO14000000001210CM,11/03/2010,,25000,Dapur Solo - Panglima,Fully Billed
PO14000000001211CM,03/03/2011,,25000,Dapur Solo - Panglima,Fully Billed
PO14000000001212CM,03/03/2011,,25000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001213CM,08/03/2011,,25000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001214CM,08/03/2011,,25000,Dapur Solo - Panglima,Fully Billed
PO14000000001215CM,01/03/2012,,10000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001216CM,01/03/2012,,10000,Dapur Solo - Panglima,Fully Billed
PO14000000001217CM,11/03/2010,,45000,Dapur Solo - Panglima,Fully Billed
PO14000000001218CM,11/03/2010,,38900,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001219CM,12/01/2010,,38900,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001220CM,12/01/2010,,75466,Dapur Solo - Panglima,Fully Billed
PO14000000001221CM,01/03/2011,,58350,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001222CM,01/03/2011,,58350,Dapur Solo - Panglima,Fully Billed
PO14000000001223CM,04/03/2011,,77800,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001224CM,04/03/2011,,77800,Dapur Solo - Panglima,Fully Billed
PO14000000001225CM,07/03/2011,,82857,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001226CM,07/03/2011,,82857,Dapur Solo - Panglima,Fully Billed
PO14000000001227CM,10/03/2011,,101140,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001228CM,10/03/2011,,101140,Dapur Solo - Panglima,Fully Billed
PO14000000001229CM,02/03/2012,,50959,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001230CM,02/03/2012,,50959,Dapur Solo - Panglima,Fully Billed
PO14000000001231CM,12/10/2011,,20000,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001232CM,05/01/2011,,16500,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001233CM,12/02/2010,,53750,Dapur Solo - Panglima,Fully Billed
PO14000000001234CM,3/26/2012,,700,Dapur Solo - Panglima,Pending Receipt
PO14000000001235CM,3/26/2012,,13875,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001236CM,12/01/2010,,12500,Dapur Solo - Panglima,Fully Billed
PO14000000001237CM,12/01/2010,,1185,Dapur Solo - Panglima,Fully Billed
PO14000000001238CM,12/01/2010,,249,Dapur Solo - Panglima,Fully Billed
PO14000000001239CM,3/14/2012,,144,Dapur Solo - Panglima,Fully Billed
PO14000000001240CM,01/02/2012,,750,Dapur Solo - Panglima,Pending Bill
PO14000000001241CM,03/01/2012,,1500,Dapur Solo - Panglima,Pending Receipt
PO14000000001242CM,03/01/2012,,1500,Dapur Solo - Panglima,Pending Receipt
PO14000000001243CM,03/01/2012,,1500,Dapur Solo - Panglima,Fully Billed
PO14000000001244CM,03/01/2012,,1500,Dapur Solo - Panglima,Partially Received
PO14000000001245CM,03/01/2012,,4750,Dapur Solo - Panglima,Partially Received
PO14000000001246CM,03/01/2012,,40000,Dapur Solo - Panglima,Pending Bill
PO14000000001247CM,03/01/2012,,24000,Dapur Solo - Panglima,Partially Received
PO14000000001248CM,02/02/2012,,185,Dapur Solo - Panglima,Fully Billed
PO14000000001249CM,01/10/2012,,192.98,Dapur Solo - Panglima,Fully Billed
PO14000000001250CM,01/10/2012,,150,Dapur Solo - Panglima,Fully Billed
PO14000000001251CM,03/02/2012,,225,Dapur Solo - Panglima,Fully Billed
PO14000000001252CM,04/02/2012,,189.99,Dapur Solo - Panglima,Fully Billed
PO14000000001253CM,03/02/2012,,100,Dapur Solo - Panglima,Fully Billed
PO14000000001254CM,03/02/2012,,25,Dapur Solo - Panglima,Fully Billed
PO14000000001255CM,04/02/2012,,60,Dapur Solo - Panglima,Fully Billed
PO14000000001256CM,05/02/2012,,189.99,Dapur Solo - Panglima,Pending Bill
PO14000000001257CM,3/25/2012,,2850,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001258CM,3/25/2012,,5500,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001259CM,3/25/2012,,6250,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001260CM,3/25/2012,,7125,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001261CM,3/25/2012,,7500.01,Los Angeles,Pending Receipt
PO14000000001262CM,03/12/2012,,1720,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001263CM,09/01/2011,,995,CM00Z001 Jade e Services (MTA),Partially Received
PO14000000001264CM,10/01/2011,,995,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001265CM,11/02/2011,,995,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001266CM,12/01/2011,,995,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001267CM,01/01/2012,,995,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001269CM,3/15/2012,,499,CM00Z001 Jade e Services (MTA),Closed
PO14000000001270CM,3/16/2012,,9.95,Dapur Solo - Panglima,Pending Receipt
PO14000000001271CM,7/17/2011,,0,Dapur Solo - Panglima,Fully Billed
PO14000000001272CM,7/24/2011,,995,Dapur Solo - Panglima,Fully Billed
PO14000000001273CM,03/02/2012,,0,Dapur Solo - Panglima,Pending Receipt
PO14000000001274CM,03/02/2012,,49750,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001275CM,03/02/2012,,980.2,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001276CM,03/02/2012,,2618.2,Dapur Solo - Panglima,Pending Bill
PO14000000001277CM,07/01/2011,,29900,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001278CM,03/03/2012,,29900,Dapur Solo - Panglima,Pending Bill
PO14000000001279CM,10/02/2011,,30411,Dapur Solo - Panglima,Fully Billed
PO14000000001280CM,11/03/2011,,29900,Dapur Solo - Panglima,Fully Billed
PO14000000001281CM,12/22/2011,,29900,Dapur Solo - Panglima,Fully Billed
PO14000000001282CM,1/31/2012,,23322,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001283CM,02/09/2012,,59800,Dapur Solo - Panglima,Pending Bill
PO14000000001284CM,03/11/2012,,250,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001285CM,3/19/2012,,15,Dapur Solo - Panglima,Pending Receipt
PO14000000001286CM,06/08/2012,,59800,Dapur Solo - Panglima,Fully Billed
PO14000000001287CM,06/08/2012,,1495,Los Angeles,Pending Receipt
PO14000000001288CM,6/25/2012,,450,,Pending Receipt
PO14000000001289CM,07/11/2012,,2000,VIS-JAKARTA WH,Fully Billed
PO14000000001290CM,07/12/2012,,500,VIS-BANDUNG WH,Fully Billed
PO14000000001291CM,07/12/2012,,4000,VIS-BANDUNG WH,Fully Billed
PO14000000001292CM,7/13/2012,,299,,Pending Receipt
PO14000000001293CM,08/08/2012,,2990,Dapur Solo - Panglima,Pending Bill
PO14000000001294CM,8/28/2012,,117.9,Dapur Solo - Panglima,Pending Receipt
PO14000000001295CM,8/29/2012,,2000,VIS-JAKARTA WH,Pending Bill
PO14000000001296CM,09/12/2012,,10000,VIS-JAKARTA WH,Pending Receipt
PO14000000001297CM,9/18/2012,,10000,VIS-JAKARTA WH,Pending Bill
PO14000000001298CM,10/10/2012,,800,VIS-JAKARTA WH,Pending Bill
PO14000000001299CM,10/10/2012,,800,VIS-JAKARTA WH,Fully Billed
PO14000000001300CM,10/10/2012,,8000,VIS-JAKARTA WH,Pending Receipt
PO14000000001301CM,10/11/2012,,800,VIS-JAKARTA WH,Pending Bill
PO14000000001302CM,10/11/2012,,800,VIS-JAKARTA WH,Pending Bill
PO14000000001303CM,10/11/2012,,1600,VIS-JAKARTA WH,Fully Billed
PO14000000001304CM,10/12/2012,,10,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001305CM,10/31/2012,,110,CM00Z001 Jade e Services (MTA),Fully Billed
PO14000000001306CM,12/03/2012,,299,Dapur Solo - Panglima,Pending Bill
PO14000000001307CM,12/03/2012,,598,Dapur Solo - Panglima,Pending Bill
PO14000000001308CM,12/12/2012,,2990,Dapur Solo - Panglima,Pending Bill
PO14000000001309CM,01/04/2013,,250,,Pending Receipt
PO14000000001310CM,01/04/2013,,800,,Pending Receipt
PO14000000001311CM,2/26/2013,,3300,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001312CM,03/03/2013,,8000,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001313CM,04/11/2013,,27.99,CM00Z001 Jade e Services (MTA),Pending Receipt
PO14000000001314CM,5/14/2013,,100,Dapur Solo - Panglima,Pending Receipt
PO14000000001316CM,6/14/2013,,2250,,Pending Bill
PO14000000001318CM,6/18/2013,,2265,,Pending Bill
PO14000000001319CM,6/19/2013,,2250,,Pending Bill
PO14000000001321CM,6/21/2013,,360,,Fully Billed
PO14000000001322CM,6/25/2013,,3000,,Fully Billed
PO14000000001323CM,6/25/2013,,30000,,Pending Receipt
PO14000000001324CM,6/26/2013,,3000,,Fully Billed
PO14000000001325CM,6/27/2013,,18206,,Pending Bill
Test PO-1A,09/04/2013,,0,,Pending Bill
Test PO-New,01/06/2010,,8000,,Fully Billed
Test PO-101,11/28/2013,,1000,CM00Z001 Jade e Services (MTA),Pending Bill
PO14000000001328CM,01/10/2014,,10,,Pending Receipt
PO14000000001329CM,2/21/2014,,1000,,Pending Receipt
PO14000000001330CM,2/21/2014,,269.55,,Pending Receipt
PO14000000001331CM,2/21/2014,,389.61,,Pending Receipt
PO14000000001332CM,2/21/2014,,625,,Pending Receipt
PO14000000001333CM,2/21/2014,,128.54,,Pending Receipt
PO14000000001334CM,2/21/2014,,20,,Closed
PO14000000001335CM,2/21/2014,,972,,Pending Receipt
PO14000000001336CM,2/21/2014,,6371.75,,Pending Receipt
PO14000000001337CM,2/21/2014,,9350,,Pending Receipt
PO14000000001338CM,2/21/2014,,2659.86,,Pending Receipt
PO14000000001339CM,2/21/2014,,700,,Pending Receipt
PO14000000001340CM,2/21/2014,,1400,,Pending Receipt
PO14000000001341CM,2/21/2014,,280,,Pending Receipt
PO14000000001342CM,2/21/2014,,825,,Pending Receipt
PO14000000001343CM,2/21/2014,,375,,Pending Receipt
PO-000001-14,2/28/2014,,90,,Fully Billed
